country_code,country,year,consumption_growth,inflation,interest_rate,gdp_growth,unemployment
ITA,Italy,2020,-4.028,2.009,3.983,2.089,9.275
ITA,Italy,2021,-5.147,4.056,4.551,0.507,9.316
ITA,Italy,2022,-9.732,6.684,6.429,1.07,9.402
ITA,Italy,2023,-10.422,6.195,7.97,0.859,9.478
NLD,Netherlands,2000,-1.498,1.774,2.383,0.206,4.295
NLD,Netherlands,2001,-2.773,2.686,3.064,1.725,3.992
NLD,Netherlands,2002,-3.174,3.288,3.36,-1.072,3.255
NLD,Netherlands,2003,-3.176,3.442,3.38,3.038,3.354
NLD,Netherlands,2004,-3.729,3.272,4.036,0.807,4.137
NLD,Netherlands,2005,-4.642,3.725,4.559,1.52,4.912
NLD,Netherlands,2006,-3.209,2.167,4.301,0.77,4.661
NLD,Netherlands,2007,-2.617,2.462,4.234,1.496,3.694
NLD,Netherlands,2008,-3.217,2.512,3.357,-0.869,3.562
NLD,Netherlands,2009,-3.251,1.903,3.277,0.621,2.942
NLD,Netherlands,2010,-2.331,2.618,3.522,3.143,2.734
NLD,Netherlands,2011,-2.183,1.983,3.013,4.504,2.51
NLD,Netherlands,2012,-0.871,1.218,2.726,3.549,1.705
NLD,Netherlands,2013,-1.173,1.459,2.89,1.733,2.14
NLD,Netherlands,2014,-2.976,2.015,3.217,1.203,2.044
NLD,Netherlands,2015,-1.994,2.238,2.432,0.846,2.625
NLD,Netherlands,2016,-1.578,1.756,2.448,2.166,2.619
NLD,Netherlands,2017,-4.017,3.131,3.229,-0.842,2.794
NLD,Netherlands,2018,-3.43,3.44,3.333,1.313,2.806
NLD,Netherlands,2019,-3.854,4.213,4.379,1.151,2.174
NLD,Netherlands,2020,-4.526,3.638,4.687,0.023,2.613
NLD,Netherlands,2021,-6.429,6.276,5.31,3.204,2.66
NLD,Netherlands,2022,-7.519,6.836,5.486,3.156,2.415
NLD,Netherlands,2023,-6.702,5.592,5.598,-0.736,2.834
SWE,Sweden,2000,-1.004,1.971,2.396,2.23,6.496
SWE,Sweden,2001,-1.411,2.352,3.162,2.967,6.209
SWE,Sweden,2002,-2.585,2.186,3.14,1.108,6.282
SWE,Sweden,2003,-1.547,1.727,2.82,3.504,6.231
SWE,Sweden,2004,-1.116,1.491,2.539,2.994,6.007
SWE,Sweden,2005,-1.619,1.064,3.865,0.649,6.26
SWE,Sweden,2006,-1.854,1.452,3.551,1.333,6.693
SWE,Sweden,2007,-1.932,1.101,3.807,0.175,6.979
SWE,Sweden,2008,-3.046,1.691,3.556,-0.349,6.795
SWE,Sweden,2009,-2.545,1.415,3.565,-0.078,6.962
SWE,Sweden,2010,-1.188,1.218,2.756,3.871,6.924
SWE,Sweden,2011,-0.742,1.581,1.995,4.312,6.824
SWE,Sweden,2012,-2.77,2.715,2.028,0.879,6.974
SWE,Sweden,2013,-1.11,2.02,1.866,2.757,6.547
SWE,Sweden,2014,-0.538,0.919,0.876,2.697,7.105
SWE,Sweden,2015,0.169,0.99,1.319,1.584,7.087
SWE,Sweden,2016,0.606,1.357,1.493,3.695,6.634
SWE,Sweden,2017,-0.959,1.969,1.336,2.292,6.221
SWE,Sweden,2018,-0.122,0.955,1.604,1.758,6.553
SWE,Sweden,2019,0.748,0.071,0.618,2.535,6.079
SWE,Sweden,2020,0.461,0.597,0.259,-0.25,6.62
SWE,Sweden,2021,-2.08,3.573,1.797,3.635,6.588
SWE,Sweden,2022,-3.322,4.714,3.336,2.898,6.296
SWE,Sweden,2023,-5.651,5.129,3.93,-0.074,7.359
